,age,gender,time_spent,platform,interests,location,demographics,userid,profession,income,indebt,isHomeOwner,Owns_Car,income_range,,,
,61,female,4,Facebook,Sports,United States,Urban,20,Marketer Manager,17206,False,False,False,High,,,
,47,male,2,Instagram,Sports,United Kingdom,Rural,21,Software Engineer,17170,False,False,True,High,,,
,55,non-binary,7,YouTube,Travel,Australia,Urban,22,Student,16207,True,False,True,High,,,
,19,male,6,YouTube,Travel,United States,Rural,23,Marketer Manager,12419,True,True,True,Medium,,,
,38,female,1,YouTube,Sports,Australia,Sub_Urban,24,Software Engineer,16240,True,True,True,High,,,
,50,non-binary,9,Instagram,Sports,United Kingdom,Rural,25,Software Engineer,11893,True,False,False,Low,,,
,29,non-binary,9,Facebook,Travel,Australia,Rural,26,Student,15322,True,False,True,Low,,,
,39,male,2,Instagram,Lifestlye,Australia,Urban,27,Software Engineer,17718,True,False,False,High,,,
,61,female,3,Facebook,Lifestlye,Australia,Sub_Urban,28,Marketer Manager,16878,True,False,False,High,,,
,42,male,5,YouTube,Travel,Australia,Urban,29,Software Engineer,11125,True,False,True,Low,,,
,44,non-binary,5,YouTube,Sports,Australia,Sub_Urban,30,Software Engineer,13117,False,False,True,Medium,,,
,59,male,1,Facebook,Sports,United States,Urban,31,Marketer Manager,14161,False,False,True,Medium,,,
,45,male,8,Facebook,Lifestlye,United States,Rural,32,Software Engineer,14042,True,False,True,Medium,,,
,33,female,8,Instagram,Lifestlye,United States,Urban,33,Software Engineer,14433,False,True,True,Medium,,,
,32,female,4,YouTube,Travel,United Kingdom,Sub_Urban,34,Software Engineer,18638,True,True,True,High,,,
,64,non-binary,7,Instagram,Lifestlye,Australia,Sub_Urban,35,Software Engineer,12658,True,True,False,Medium,,,
,61,male,3,Instagram,Travel,United States,Rural,36,Marketer Manager,13483,False,True,False,Medium,,,
,20,male,6,Instagram,Lifestlye,United Kingdom,Sub_Urban,37,Software Engineer,12944,True,False,False,Medium,,,
,54,male,9,YouTube,Lifestlye,United States,Urban,38,Marketer Manager,17210,True,True,False,High,,,
,24,non-binary,1,Instagram,Lifestlye,United States,Rural,39,Software Engineer,17653,True,False,True,High,,,
,38,non-binary,5,Instagram,Sports,Australia,Sub_Urban,40,Software Engineer,18787,True,True,True,High,,,
,26,female,4,Instagram,Sports,United Kingdom,Sub_Urban,41,Software Engineer,11986,True,False,False,Low,,,
,56,female,8,Instagram,Sports,Australia,Urban,42,Software Engineer,11074,True,False,False,Low,,,
,35,female,1,Instagram,Lifestlye,Australia,Urban,43,Marketer Manager,14305,True,True,False,Medium,,,
,21,male,9,Instagram,Travel,United States,Rural,44,Marketer Manager,13007,False,True,True,Medium,,,
,42,male,6,YouTube,Travel,Australia,Sub_Urban,45,Marketer Manager,10969,False,False,True,Low,,,
,31,female,4,Instagram,Travel,United Kingdom,Urban,46,Student,18772,True,False,True,High,,,
,26,male,9,Facebook,Travel,Australia,Rural,47,Software Engineer,12824,False,False,False,Medium,,,
,43,female,5,Instagram,Sports,Australia,Sub_Urban,48,Software Engineer,11211,True,True,False,Low,,,
,19,non-binary,5,Instagram,Sports,Australia,Sub_Urban,49,Marketer Manager,10229,True,True,True,Low,,,
,37,female,5,YouTube,Lifestlye,United States,Rural,50,Student,14284,True,False,True,Medium,,,
,45,non-binary,1,YouTube,Lifestlye,United Kingdom,Rural,51,Software Engineer,13185,True,True,False,Medium,,,
,64,male,1,Facebook,Travel,United States,Urban,52,Marketer Manager,10501,False,False,False,Low,,,
,24,female,8,Facebook,Sports,United States,Sub_Urban,53,Software Engineer,10048,False,True,True,Low,,,
,61,male,8,YouTube,Travel,United States,Sub_Urban,54,Software Engineer,13566,False,True,False,Medium,,,
,25,non-binary,6,YouTube,Lifestlye,United States,Sub_Urban,55,Marketer Manager,13055,False,True,True,Medium,,,
,64,non-binary,4,Instagram,Lifestlye,United States,Rural,56,Marketer Manager,18880,True,True,True,High,,,
,52,non-binary,2,YouTube,Travel,United Kingdom,Urban,57,Software Engineer,10386,False,True,False,Low,,,
,31,male,2,Facebook,Lifestlye,Australia,Sub_Urban,58,Software Engineer,10969,True,False,False,Low,,,
,34,male,9,Instagram,Travel,United States,Rural,59,Marketer Manager,19197,True,False,False,High,,,
,53,male,5,Facebook,Sports,United States,Sub_Urban,60,Software Engineer,15820,False,True,True,Low,,,
,57,male,4,Instagram,Travel,United Kingdom,Urban,61,Software Engineer,13052,True,False,False,Medium,,,
,21,non-binary,1,YouTube,Sports,United Kingdom,Sub_Urban,62,Marketer Manager,17397,False,False,False,High,,,
,19,non-binary,7,Facebook,Sports,Australia,Urban,63,Software Engineer,12302,False,True,True,Medium,,,
,23,female,3,Instagram,Lifestlye,United Kingdom,Urban,64,Software Engineer,12283,False,False,True,Medium,,,
,59,female,6,Instagram,Lifestlye,Australia,Sub_Urban,65,Student,19799,False,True,False,High,,,
,21,male,5,YouTube,Lifestlye,United States,Sub_Urban,66,Marketer Manager,14366,False,False,True,Medium,,,
,46,non-binary,5,YouTube,Travel,United States,Urban,67,Student,10122,True,False,True,Low,,,
,35,non-binary,5,YouTube,Travel,Australia,Rural,68,Student,16799,False,False,True,High,,,
,43,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban,69,Student,19472,False,False,False,High,,,
,61,female,1,Instagram,Travel,Australia,Sub_Urban,70,Software Engineer,13727,True,False,False,Medium,,,
,51,female,3,YouTube,Lifestlye,United Kingdom,Sub_Urban,71,Software Engineer,18450,False,False,True,High,,,
,27,non-binary,4,Facebook,Travel,United States,Rural,72,Student,19139,False,False,True,High,,,
,53,non-binary,5,Facebook,Sports,United Kingdom,Urban,73,Student,14958,True,True,True,Medium,,,
,31,non-binary,2,Facebook,Sports,Australia,Urban,74,Student,10524,True,True,False,Low,,,
,48,female,8,YouTube,Lifestlye,Australia,Urban,75,Software Engineer,19079,False,True,True,High,,,
,32,non-binary,2,YouTube,Travel,United States,Sub_Urban,76,Student,18399,True,True,True,High,,,
,25,non-binary,9,Instagram,Travel,United Kingdom,Urban,77,Student,10148,False,False,False,Low,,,
,31,male,2,Instagram,Sports,United Kingdom,Rural,78,Marketer Manager,18001,True,False,True,High,,,
,40,male,9,YouTube,Sports,United Kingdom,Sub_Urban,79,Marketer Manager,10437,False,False,False,Low,,,
,57,female,7,Facebook,Lifestlye,United States,Sub_Urban,80,Software Engineer,13749,False,True,False,Medium,,,
,38,non-binary,8,Facebook,Sports,United Kingdom,Urban,81,Marketer Manager,18186,False,True,False,High,,,
,33,non-binary,2,Facebook,Lifestlye,Australia,Rural,82,Marketer Manager,14453,True,True,True,Medium,,,
,62,male,7,Instagram,Sports,United Kingdom,Sub_Urban,83,Marketer Manager,15336,False,False,True,Low,,,
,35,female,6,Facebook,Sports,United States,Sub_Urban,84,Software Engineer,14551,True,True,False,Medium,,,
,64,male,4,Instagram,Travel,United Kingdom,Urban,85,Marketer Manager,12823,False,False,True,Medium,,,
,41,male,7,Instagram,Sports,United Kingdom,Urban,86,Software Engineer,15728,False,True,False,Low,,,
,43,male,4,Facebook,Sports,Australia,Rural,87,Student,18677,False,False,True,High,,,
,42,male,2,Facebook,Lifestlye,United Kingdom,Urban,88,Marketer Manager,18391,False,True,False,High,,,
,62,non-binary,7,YouTube,Sports,Australia,Rural,89,Software Engineer,11982,False,False,False,Low,,,
,58,non-binary,8,YouTube,Lifestlye,Australia,Sub_Urban,90,Marketer Manager,16996,True,True,True,High,,,
,46,male,2,Facebook,Sports,United States,Rural,91,Student,19663,True,True,True,High,,,
,32,female,5,Instagram,Sports,Australia,Rural,92,Software Engineer,12311,True,False,True,Medium,,,
,62,female,1,Instagram,Lifestlye,Australia,Rural,93,Software Engineer,17225,False,False,True,High,,,
,18,female,7,Instagram,Travel,United States,Sub_Urban,94,Software Engineer,19713,False,True,False,High,,,
,42,female,8,Instagram,Lifestlye,Australia,Urban,95,Student,10604,True,False,False,Low,,,
,24,male,6,Instagram,Lifestlye,United States,Sub_Urban,96,Student,18175,False,True,True,High,,,
,26,non-binary,5,YouTube,Lifestlye,United Kingdom,Urban,97,Student,15785,False,False,True,Low,,,
,41,female,6,Facebook,Travel,United States,Rural,98,Software Engineer,19609,False,True,False,High,,,
,18,male,2,YouTube,Sports,Australia,Rural,99,Student,14597,True,False,True,Medium,,,
,61,female,1,Instagram,Lifestlye,United States,Rural,100,Marketer Manager,17759,True,True,True,High,,,
,25,female,7,Instagram,Lifestlye,Australia,Rural,101,Student,17532,True,True,True,High,,,
,41,male,7,Instagram,Travel,United Kingdom,Rural,102,Software Engineer,18740,True,True,True,High,,,
,28,non-binary,2,Instagram,Lifestlye,United States,Urban,103,Marketer Manager,10838,True,False,False,Low,,,
,34,non-binary,2,Facebook,Sports,United Kingdom,Urban,104,Student,13815,False,True,False,Medium,,,
,25,male,1,Instagram,Travel,Australia,Rural,105,Marketer Manager,10847,False,False,True,Low,,,
,52,non-binary,8,Facebook,Sports,Australia,Sub_Urban,106,Marketer Manager,14709,False,False,False,Medium,,,
,52,male,8,Instagram,Sports,United Kingdom,Sub_Urban,107,Software Engineer,14507,False,False,True,Medium,,,
,50,male,1,Facebook,Travel,United States,Rural,108,Marketer Manager,16575,True,True,True,High,,,
,22,male,8,YouTube,Lifestlye,United States,Urban,109,Marketer Manager,14773,True,False,True,Medium,,,
,59,non-binary,9,Instagram,Sports,Australia,Sub_Urban,110,Software Engineer,14468,False,False,False,Medium,,,
,56,male,4,Facebook,Sports,United Kingdom,Sub_Urban,111,Software Engineer,15192,True,False,False,Low,,,
,58,female,1,YouTube,Sports,United Kingdom,Sub_Urban,112,Software Engineer,13320,False,True,False,Medium,,,
,45,non-binary,1,Instagram,Sports,United States,Rural,113,Marketer Manager,14698,False,False,False,Medium,,,
,24,non-binary,3,Instagram,Travel,United States,Sub_Urban,114,Marketer Manager,14311,False,False,False,Medium,,,
,26,non-binary,5,Instagram,Travel,United States,Sub_Urban,115,Marketer Manager,13673,False,False,True,Medium,,,
,25,non-binary,5,Facebook,Sports,United Kingdom,Sub_Urban,116,Software Engineer,11564,True,False,True,Low,,,
,29,female,9,Facebook,Lifestlye,United States,Sub_Urban,117,Student,11840,False,True,False,Low,,,
,51,non-binary,2,YouTube,Sports,United States,Urban,118,Marketer Manager,16058,True,True,False,High,,,
,50,non-binary,2,Facebook,Lifestlye,Australia,Rural,119,Student,17131,False,False,False,High,,,
,40,male,6,Facebook,Sports,United States,Rural,120,Software Engineer,10726,False,False,True,Low,,,
,41,non-binary,9,Instagram,Lifestlye,United States,Urban,121,Marketer Manager,19436,False,False,False,High,,,
,54,female,1,Instagram,Sports,United Kingdom,Urban,122,Student,16697,False,False,True,High,,,
,52,female,9,Instagram,Lifestlye,United Kingdom,Rural,123,Marketer Manager,19257,True,True,True,High,,,
,61,female,9,Instagram,Sports,Australia,Sub_Urban,124,Marketer Manager,10282,False,True,False,Low,,,
,57,female,9,Instagram,Sports,United States,Sub_Urban,125,Marketer Manager,11081,True,True,True,Low,,,
,39,non-binary,5,Instagram,Lifestlye,Australia,Rural,126,Student,13885,False,True,True,Medium,,,
,44,non-binary,9,Instagram,Travel,United Kingdom,Sub_Urban,127,Software Engineer,12881,False,False,False,Medium,,,
,52,female,4,YouTube,Lifestlye,Australia,Urban,128,Marketer Manager,12970,False,False,True,Medium,,,
,18,female,2,YouTube,Travel,United Kingdom,Sub_Urban,129,Software Engineer,19344,True,True,False,High,,,
,52,non-binary,6,YouTube,Sports,Australia,Sub_Urban,130,Software Engineer,16985,False,True,True,High,,,
,54,female,4,YouTube,Lifestlye,Australia,Sub_Urban,131,Student,10947,False,False,False,Low,,,
,64,male,6,Instagram,Lifestlye,United States,Rural,132,Student,14760,False,False,False,Medium,,,
,31,female,3,YouTube,Lifestlye,Australia,Urban,133,Software Engineer,19909,False,False,True,High,,,
,20,female,6,Instagram,Travel,United States,Sub_Urban,134,Marketer Manager,10066,False,False,False,Low,,,
,18,male,2,YouTube,Travel,United States,Rural,135,Student,18828,True,False,True,High,,,
,22,male,2,Facebook,Sports,United States,Sub_Urban,136,Marketer Manager,18505,True,True,True,High,,,
,43,non-binary,9,YouTube,Travel,United States,Urban,137,Marketer Manager,10564,False,True,False,Low,,,
,31,non-binary,7,YouTube,Travel,Australia,Sub_Urban,138,Marketer Manager,19793,False,False,True,High,,,
,56,male,3,Instagram,Sports,United Kingdom,Urban,139,Software Engineer,19017,True,False,False,High,,,
,44,male,1,YouTube,Lifestlye,United Kingdom,Sub_Urban,140,Marketer Manager,13670,False,True,True,Medium,,,
,26,non-binary,8,Facebook,Lifestlye,United Kingdom,Urban,141,Software Engineer,19217,True,False,True,High,,,
,32,female,6,Instagram,Sports,Australia,Sub_Urban,142,Software Engineer,12251,False,True,False,Medium,,,
,32,male,7,Instagram,Lifestlye,United States,Urban,143,Marketer Manager,10804,False,True,True,Low,,,
,43,non-binary,9,YouTube,Travel,United Kingdom,Sub_Urban,144,Marketer Manager,14631,True,True,True,Medium,,,
,59,female,5,Instagram,Sports,Australia,Sub_Urban,145,Marketer Manager,19583,False,True,True,High,,,
,30,male,1,Instagram,Sports,United States,Rural,146,Marketer Manager,11235,True,False,True,Low,,,
,49,female,7,Instagram,Sports,United Kingdom,Rural,147,Software Engineer,16720,True,False,True,High,,,
,56,non-binary,5,Instagram,Lifestlye,United States,Urban,148,Marketer Manager,16906,True,True,True,High,,,
,49,male,3,Instagram,Sports,United Kingdom,Sub_Urban,149,Marketer Manager,16016,False,False,True,High,,,
,21,female,9,Instagram,Sports,United Kingdom,Urban,150,Software Engineer,13549,True,False,True,Medium,,,
,47,male,1,Facebook,Sports,United Kingdom,Rural,151,Student,17938,True,False,False,High,,,
,54,female,1,YouTube,Lifestlye,United States,Urban,152,Student,14141,False,False,True,Medium,,,
,40,non-binary,1,Facebook,Travel,Australia,Urban,153,Software Engineer,16966,False,True,True,High,,,
,56,non-binary,3,Instagram,Sports,United States,Rural,154,Student,19546,False,False,False,High,,,
,62,male,6,Instagram,Travel,United Kingdom,Sub_Urban,155,Software Engineer,15335,False,True,False,Low,,,
,32,female,3,YouTube,Lifestlye,United States,Urban,156,Marketer Manager,15077,False,True,False,Low,,,
,60,male,8,Facebook,Lifestlye,Australia,Rural,157,Marketer Manager,15611,False,False,True,Low,,,
,46,male,2,YouTube,Lifestlye,United States,Sub_Urban,158,Student,18089,True,True,False,High,,,
,53,female,9,Facebook,Lifestlye,Australia,Rural,159,Marketer Manager,12892,False,False,False,Medium,,,
,30,female,3,Instagram,Travel,Australia,Urban,160,Student,15577,True,False,True,Low,,,
,49,female,5,YouTube,Sports,United States,Sub_Urban,161,Student,13618,False,True,True,Medium,,,
,24,non-binary,8,YouTube,Lifestlye,United Kingdom,Sub_Urban,162,Marketer Manager,11559,True,False,False,Low,,,
,39,male,2,Instagram,Lifestlye,Australia,Rural,163,Marketer Manager,16683,True,True,False,High,,,
,45,male,6,YouTube,Travel,United States,Rural,164,Student,11507,False,True,True,Low,,,
,19,non-binary,5,Facebook,Travel,Australia,Rural,165,Marketer Manager,12063,False,False,True,Medium,,,
,59,female,9,Facebook,Lifestlye,United Kingdom,Sub_Urban,166,Software Engineer,13642,True,False,True,Medium,,,
,62,non-binary,5,Facebook,Sports,United States,Sub_Urban,167,Marketer Manager,12000,False,False,True,Low,,,
,23,non-binary,2,Facebook,Sports,United States,Urban,168,Marketer Manager,11294,False,True,True,Low,,,
,45,non-binary,5,Instagram,Lifestlye,United States,Sub_Urban,169,Software Engineer,14065,True,False,False,Medium,,,
,45,male,4,YouTube,Travel,United Kingdom,Urban,170,Marketer Manager,18014,True,True,True,High,,,
,61,non-binary,7,Facebook,Lifestlye,Australia,Rural,171,Marketer Manager,19945,True,True,True,High,,,
,61,male,6,Instagram,Lifestlye,United States,Rural,172,Student,11603,False,False,True,Low,,,
,37,male,2,YouTube,Travel,Australia,Sub_Urban,173,Marketer Manager,11322,False,False,True,Low,,,
,47,male,5,YouTube,Lifestlye,Australia,Rural,174,Marketer Manager,15956,False,False,True,Low,,,
,28,female,7,Instagram,Lifestlye,United Kingdom,Rural,175,Software Engineer,12441,False,True,False,Medium,,,
,45,male,7,Instagram,Lifestlye,United States,Sub_Urban,176,Student,11098,True,False,True,Low,,,
,42,male,5,Facebook,Travel,Australia,Urban,177,Student,15073,False,True,False,Low,,,
,56,female,9,YouTube,Sports,United States,Sub_Urban,178,Student,19697,True,False,True,High,,,
,50,male,4,YouTube,Sports,United States,Urban,179,Marketer Manager,19318,False,False,False,High,,,
,18,non-binary,3,Instagram,Travel,United Kingdom,Sub_Urban,180,Student,18488,False,True,False,High,,,
,44,non-binary,4,YouTube,Sports,United States,Sub_Urban,181,Software Engineer,13787,True,True,True,Medium,,,
,30,male,5,Facebook,Lifestlye,United States,Rural,182,Student,12096,False,False,True,Medium,,,
,58,female,6,YouTube,Sports,Australia,Sub_Urban,183,Software Engineer,12208,False,False,True,Medium,,,
,20,non-binary,3,Instagram,Lifestlye,United Kingdom,Sub_Urban,184,Student,15988,True,False,True,Low,,,
,56,female,2,Instagram,Sports,United States,Urban,185,Student,10175,False,False,True,Low,,,
,23,female,4,Facebook,Travel,Australia,Rural,186,Software Engineer,17169,True,False,False,High,,,
,25,non-binary,5,Facebook,Sports,United Kingdom,Urban,187,Student,16014,True,True,True,High,,,
,44,female,4,YouTube,Sports,United Kingdom,Urban,188,Student,11667,True,True,True,Low,,,
,26,non-binary,3,YouTube,Sports,Australia,Rural,189,Student,18867,True,True,False,High,,,
,54,female,8,Instagram,Travel,Australia,Rural,190,Marketer Manager,11823,False,True,True,Low,,,
,50,non-binary,4,Facebook,Sports,Australia,Rural,191,Software Engineer,15147,False,False,False,Low,,,
,59,male,2,Facebook,Travel,Australia,Sub_Urban,192,Student,11356,False,True,True,Low,,,
,61,non-binary,2,Facebook,Lifestlye,Australia,Rural,193,Software Engineer,13072,True,True,False,Medium,,,
,41,non-binary,1,YouTube,Sports,United States,Rural,194,Software Engineer,13259,False,True,True,Medium,,,
,32,non-binary,4,Facebook,Travel,United States,Rural,195,Software Engineer,16199,False,False,False,High,,,
,49,non-binary,9,Instagram,Travel,United Kingdom,Urban,196,Student,10546,False,True,False,Low,,,
,49,female,7,Instagram,Sports,United States,Urban,197,Student,15231,False,False,True,Low,,,
,41,male,7,YouTube,Lifestlye,United States,Sub_Urban,198,Software Engineer,17965,True,True,True,High,,,
,58,non-binary,7,YouTube,Travel,United States,Urban,199,Marketer Manager,12083,True,False,True,Medium,,,
,29,female,8,Facebook,Sports,Australia,Sub_Urban,200,Software Engineer,12040,False,True,False,Medium,,,
,56,male,1,YouTube,Lifestlye,United Kingdom,Urban,201,Marketer Manager,14534,True,False,False,Medium,,,
,19,male,8,Instagram,Travel,United Kingdom,Rural,202,Software Engineer,11752,False,True,False,Low,,,
,20,male,4,Facebook,Travel,United Kingdom,Urban,203,Software Engineer,19807,False,False,True,High,,,
,54,male,4,Instagram,Lifestlye,United Kingdom,Sub_Urban,204,Software Engineer,11849,False,False,True,Low,,,
,34,non-binary,4,Facebook,Lifestlye,United States,Urban,205,Student,12642,True,True,False,Medium,,,
,19,non-binary,6,YouTube,Sports,United States,Rural,206,Marketer Manager,11600,False,False,True,Low,,,
,19,female,7,Facebook,Sports,Australia,Sub_Urban,207,Marketer Manager,14402,True,False,False,Medium,,,
,45,female,6,Facebook,Travel,United Kingdom,Rural,208,Software Engineer,13799,True,True,True,Medium,,,
,40,female,1,Instagram,Lifestlye,United States,Rural,209,Student,10618,False,True,True,Low,,,
,54,male,8,Instagram,Lifestlye,United States,Sub_Urban,210,Student,11132,True,False,False,Low,,,
,49,male,7,Facebook,Lifestlye,Australia,Rural,211,Marketer Manager,15491,True,True,True,Low,,,
,50,non-binary,6,YouTube,Travel,Australia,Rural,212,Student,15795,False,True,True,Low,,,
,18,male,6,YouTube,Lifestlye,Australia,Urban,213,Marketer Manager,17633,True,True,True,High,,,
,36,male,5,Instagram,Lifestlye,United States,Rural,214,Marketer Manager,11487,True,False,True,Low,,,
,19,male,6,YouTube,Travel,United States,Rural,215,Marketer Manager,17848,False,False,True,High,,,
,61,female,9,Instagram,Sports,Australia,Rural,216,Student,15009,False,False,False,Low,,,
,43,female,9,YouTube,Sports,United Kingdom,Rural,217,Marketer Manager,19749,True,False,True,High,,,
,49,non-binary,8,Facebook,Travel,Australia,Sub_Urban,218,Marketer Manager,12113,False,False,False,Medium,,,
,23,male,9,Instagram,Lifestlye,Australia,Urban,219,Software Engineer,11044,False,False,True,Low,,,
,49,male,8,Instagram,Travel,Australia,Rural,220,Marketer Manager,12431,True,False,True,Medium,,,
,21,non-binary,8,Facebook,Sports,Australia,Rural,221,Marketer Manager,17979,True,True,False,High,,,
,28,male,1,Instagram,Sports,United States,Sub_Urban,222,Software Engineer,11582,False,False,False,Low,,,
,34,male,5,YouTube,Travel,United Kingdom,Rural,223,Software Engineer,11308,True,False,True,Low,,,
,55,female,4,YouTube,Travel,Australia,Sub_Urban,224,Student,14917,False,True,True,Medium,,,
,41,non-binary,2,Instagram,Sports,United Kingdom,Urban,225,Marketer Manager,18793,False,True,False,High,,,
,22,non-binary,8,YouTube,Travel,United Kingdom,Urban,226,Student,11620,True,True,False,Low,,,
,51,non-binary,3,Instagram,Sports,United Kingdom,Rural,227,Student,17503,True,False,False,High,,,
,23,non-binary,4,Facebook,Travel,Australia,Rural,228,Software Engineer,14766,False,True,False,Medium,,,
,39,female,7,Instagram,Travel,United States,Rural,229,Student,15362,False,False,True,Low,,,
,28,female,9,Facebook,Travel,Australia,Sub_Urban,230,Marketer Manager,15192,False,False,True,Low,,,
,33,male,2,YouTube,Sports,United Kingdom,Rural,231,Software Engineer,16622,False,False,True,High,,,
,50,male,3,Facebook,Travel,United Kingdom,Rural,232,Marketer Manager,16093,True,True,True,High,,,
,26,male,4,YouTube,Sports,United States,Urban,233,Marketer Manager,16704,False,True,True,High,,,
,23,male,1,Instagram,Sports,Australia,Rural,234,Software Engineer,10100,True,False,False,Low,,,
,33,female,7,YouTube,Travel,United Kingdom,Urban,235,Marketer Manager,16657,True,False,False,High,,,
,46,non-binary,2,Instagram,Travel,United States,Rural,236,Software Engineer,15875,False,False,False,Low,,,
,20,female,5,Instagram,Sports,United Kingdom,Urban,237,Marketer Manager,14271,True,True,True,Medium,,,
,37,male,1,Facebook,Sports,United States,Rural,238,Software Engineer,10237,True,False,False,Low,,,
,53,female,3,Facebook,Lifestlye,United States,Urban,239,Student,17226,False,True,True,High,,,
,36,non-binary,2,Facebook,Sports,Australia,Sub_Urban,240,Marketer Manager,18032,True,False,True,High,,,
,43,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban,241,Software Engineer,15218,True,True,True,Low,,,
,20,female,7,YouTube,Lifestlye,Australia,Urban,242,Marketer Manager,14025,False,False,False,Medium,,,
,36,female,5,YouTube,Lifestlye,United Kingdom,Urban,243,Marketer Manager,16073,False,True,True,High,,,
,37,female,1,YouTube,Travel,Australia,Rural,244,Marketer Manager,12542,False,True,True,Medium,,,
,49,male,6,Instagram,Travel,United Kingdom,Rural,245,Software Engineer,11537,False,True,False,Low,,,
,24,female,5,YouTube,Sports,Australia,Rural,246,Student,10754,False,True,True,Low,,,
,58,female,3,YouTube,Lifestlye,United States,Sub_Urban,247,Student,17396,False,True,False,High,,,
,50,female,7,YouTube,Travel,United Kingdom,Sub_Urban,248,Student,17823,False,True,True,High,,,
,57,non-binary,9,Facebook,Travel,United Kingdom,Urban,249,Software Engineer,15507,True,False,False,Low,,,
,56,non-binary,9,YouTube,Travel,United States,Sub_Urban,250,Student,14235,True,False,True,Medium,,,
,35,male,9,Instagram,Travel,Australia,Urban,251,Software Engineer,10540,False,False,True,Low,,,
,57,male,2,Facebook,Travel,United Kingdom,Urban,252,Marketer Manager,15510,True,False,False,Low,,,
,18,non-binary,3,Instagram,Lifestlye,United Kingdom,Urban,253,Marketer Manager,18461,True,True,True,High,,,
,28,non-binary,7,YouTube,Lifestlye,Australia,Sub_Urban,254,Student,17926,False,False,False,High,,,
,45,non-binary,5,Facebook,Lifestlye,United States,Rural,255,Software Engineer,15131,True,True,True,Low,,,
,42,female,2,Instagram,Lifestlye,Australia,Sub_Urban,256,Marketer Manager,18697,False,True,False,High,,,
,40,female,3,YouTube,Sports,Australia,Urban,257,Software Engineer,11129,True,True,True,Low,,,
,48,non-binary,6,Instagram,Lifestlye,Australia,Urban,258,Software Engineer,13145,False,False,True,Medium,,,
,47,female,7,Instagram,Travel,United Kingdom,Sub_Urban,259,Marketer Manager,18553,True,True,True,High,,,
,59,female,9,Instagram,Lifestlye,United States,Urban,260,Software Engineer,13720,True,False,False,Medium,,,
,52,male,1,YouTube,Sports,United States,Urban,261,Marketer Manager,19648,True,False,False,High,,,
,24,non-binary,7,YouTube,Travel,Australia,Sub_Urban,262,Marketer Manager,14067,False,False,False,Medium,,,
,33,non-binary,8,Instagram,Lifestlye,United Kingdom,Sub_Urban,263,Marketer Manager,14195,True,False,False,Medium,,,
,43,female,3,Facebook,Lifestlye,Australia,Sub_Urban,264,Software Engineer,19873,True,False,False,High,,,
,19,non-binary,4,Facebook,Lifestlye,United Kingdom,Urban,265,Marketer Manager,19244,False,True,True,High,,,
,18,male,6,YouTube,Travel,United Kingdom,Urban,266,Software Engineer,17281,False,True,True,High,,,
,29,male,7,YouTube,Travel,United Kingdom,Rural,267,Marketer Manager,12509,True,False,True,Medium,,,
,22,male,4,YouTube,Sports,United Kingdom,Rural,268,Marketer Manager,15016,True,True,True,Low,,,
,54,non-binary,8,YouTube,Travel,United States,Sub_Urban,269,Student,16533,True,False,True,High,,,
,49,non-binary,5,YouTube,Travel,United Kingdom,Rural,270,Student,14727,True,True,False,Medium,,,
